,fiscal_year,revenue_category_name,fund_category_name,fund_number,sub_fund,sub_fund_name,fund_name,revenue_class_name,cabinet_name,department_code,department_name,revenue_source,revenue_source_name,revenue_collected,fiscal_period,apd_nm,trans_no,fiscal_period_month,fund_number_fund_name,department_code_department,revenue_source_revenue_source
8120,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,5284,SSA DATA MATCH FEES,4400.0,2,August,201901001003SDB,02 (August),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),SSA DATA MATCH FEES (5284)
8121,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,5212,FED-INMATE REIMBURSEMENT,7920.0,7,January,201901001003HSD,07 (January),General Fund (0010),SHERIFF DEPARTMENT HAMPSHIRE (HSD),FED-INMATE REIMBURSEMENT (5212)
8147,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,6900,MISC,703458.13,12,June,201901001007BSD,12 (June),General Fund (0010),SHERIFF DEPARTMENT BRISTOL (BSD),MISC (6900)
8148,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,REIMBURSEMENT FOR SERVICES,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,3500,REIMBURSEMENTS,-252.0,13,Adjustment 1,201901001004SDE,13 (Adjustment 1),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),REIMBURSEMENTS (3500)
8151,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,5284,SSA DATA MATCH FEES,3100.0,8,February,201901001003SDB,08 (February),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),SSA DATA MATCH FEES (5284)
8195,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,5284,SSA DATA MATCH FEES,7000.0,5,November,201901001003SDE,05 (November),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),SSA DATA MATCH FEES (5284)
8243,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,5284,SSA DATA MATCH FEES,2800.0,1,July,201901001003SDM,01 (July),General Fund (0010),SHERIFF DEPARTMENT MIDDLESEX (SDM),SSA DATA MATCH FEES (5284)
8261,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,6900,MISC,17.5,12,June,201901001007SDB,12 (June),General Fund (0010),SHERIFF DEPARTMENT BERKSHIRE (SDB),MISC (6900)
8353,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,6900,MISC,499527.76,8,February,201901001007BSD,08 (February),General Fund (0010),SHERIFF DEPARTMENT BRISTOL (BSD),MISC (6900)
8357,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,5212,FED-INMATE REIMBURSEMENT,1074881.03,7,January,201901001003SDP,07 (January),General Fund (0010),SHERIFF DEPARTMENT PLYMOUTH (SDP),FED-INMATE REIMBURSEMENT (5212)
8366,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,SALE OF GOODS,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,4500,SALES,607.0,5,November,201901001004SDM,05 (November),General Fund (0010),SHERIFF DEPARTMENT MIDDLESEX (SDM),SALES (4500)
8446,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5212,FED-INMATE REIMBURSEMENT,4277.0,4,October,201901001003SDF,04 (October),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),FED-INMATE REIMBURSEMENT (5212)
8464,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,5284,SSA DATA MATCH FEES,3200.0,12,June,201901001003SDE,12 (June),General Fund (0010),SHERIFF DEPARTMENT ESSEX (SDE),SSA DATA MATCH FEES (5284)
8550,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5221,MISCELLANEOUS FEDERAL,11798.22,3,September,201901001003SDF,03 (September),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISCELLANEOUS FEDERAL (5221)
8563,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,RENTS,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,4000,RENTS,333.33,5,November,201901001004SDM,05 (November),General Fund (0010),SHERIFF DEPARTMENT MIDDLESEX (SDM),RENTS (4000)
8567,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,RENTS,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,4000,RENTS,333.33,4,October,201901001004SDM,04 (October),General Fund (0010),SHERIFF DEPARTMENT MIDDLESEX (SDM),RENTS (4000)
8579,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,6900,MISC,15.0,8,February,201901001007SDH,08 (February),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),MISC (6900)
8589,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,5212,FED-INMATE REIMBURSEMENT,-106576.35,4,October,201901001003SDN,04 (October),General Fund (0010),SHERIFF DEPARTMENT NORFOLK (SDN),FED-INMATE REIMBURSEMENT (5212)
8609,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,5284,SSA DATA MATCH FEES,15000.0,2,August,201901001003SDH,02 (August),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),SSA DATA MATCH FEES (5284)
8618,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,6900,MISC,25.25,11,May,201901001007SDW,11 (May),General Fund (0010),SHERIFF DEPARTMENT WORCESTER (SDW),MISC (6900)
8644,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,6900,MISC,140.4,7,January,201901001007SDH,07 (January),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),MISC (6900)
8654,2019,DEPARTMENTAL,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,STATE LOTTERY,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,4586,SALES-PRISON GOODS,238766.74,6,December,201901001004SDH,06 (December),General Fund (0010),SHERIFF DEPARTMENT HAMPDEN (SDH),SALES-PRISON GOODS (4586)
8656,2019,OTHER REVENUE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,MISCELLANEOUS,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,6900,MISC,586.18,2,August,201901001007SDF,02 (August),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISC (6900)
8694,2019,FEDERAL GRANTS AND REIMBURSE,Budgeted Funds,10,0000,SFUND IS ZERO,General Fund,FEDERAL REIMBURSEMENT OPERAT,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,5221,MISCELLANEOUS FEDERAL,10255.35,10,April,201901001003SDF,10 (April),General Fund (0010),SHERIFF DEPARTMENT FRANKLIN (SDF),MISCELLANEOUS FEDERAL (5221)
